name = extended_platinum_ec
technique = EC
tstamp = 1580482722.0
backend_name = memory
id = 6
timecol 'time/s' for: 'raw potential / [V]' and 'raw current / [mA]' and '$U_{RHE}$ / [V]' and 'J / [mA cm$^{-2}$]' and 'selector'
N_header_lines = 9

time/s,	raw potential / [V],	raw current / [mA],	$U_{RHE}$ / [V],	J / [mA cm$^{-2}$],	selector
669.1372442245483,	0.35619164,	0.004719446512692238,	1.07119164,	0.004719446512692238,	4,	
669.2913444042206,	0.35948259,	0.004769271744049626,	1.07448259,	0.004769271744049626,	4,	
669.4454443454742,	0.36247426,	0.004804126112468762,	1.07747426,	0.004804126112468762,	4,	
669.5995442867279,	0.36552161,	0.004847126879463065,	1.08052161,	0.004847126879463065,	4,	
669.7536442279816,	0.36860955,	0.004907525425161763,	1.08360955,	0.004907525425161763,	4,	
669.9077444076538,	0.37155485,	0.004942398334563627,	1.08655485,	0.004942398334563627,	4,	
670.0618443489075,	0.37472153,	0.004992194079336862,	1.08972153,	0.004992194079336862,	4,	
670.2159442901611,	0.37769264,	0.005047654766918049,	1.09269264,	0.005047654766918049,	4,	
670.3700442314148,	0.3809056,	0.005091392467623364,	1.0959056,	0.005091392467623364,	4,	
670.5241441726685,	0.38387749,	0.005129066797767933,	1.09887749,	0.005129066797767933,	4,	
670.6320443153381,	0.38644955,	0.005191891412768102,	1.1014495499999999,	0.005191891412768102,	4,	
670.6627442836761,	0.38658953,	0.005159002728760242,	1.10158953,	0.005159002728760242,	4,	
670.7474443912506,	0.38480681,	0.003413895082871349,	1.09980681,	0.003413895082871349,	4,	
670.9015443325043,	0.38175911,	0.002548656162654164,	1.09675911,	0.002548656162654164,	4,	
671.0556442737579,	0.37845004,	0.001983434226412728,	1.09345004,	0.001983434226412728,	4,	
671.2097442150116,	0.375613,	0.001572676584324379,	1.0906129999999998,	0.001572676584324379,	4,	
671.3638441562653,	0.37231046,	0.001239068088233816,	1.0873104599999999,	0.001239068088233816,	4,	
671.5179443359375,	0.36944881,	0.000980001713410398,	1.08444881,	0.000980001713410398,	4,	
671.6720442771912,	0.36621121,	0.0007573571884300218,	1.08121121,	0.0007573571884300218,	4,	
671.8261442184448,	0.36302006,	0.000574639565102824,	1.07802006,	0.000574639565102824,	4,	
671.9802441596985,	0.35983321,	0.0004134496594554132,	1.07483321,	0.0004134496594554132,	4,	
672.1343443393707,	0.35688242,	0.0002727763869850696,	1.07188242,	0.0002727763869850696,	4,	
672.2884442806244,	0.35361519,	0.0001436245368355513,	1.06861519,	0.0001436245368355513,	4,	
672.442544221878,	0.35061437,	4.195459159293217e-05,	1.06561437,	4.195459159293217e-05,	4,	
672.5966441631317,	0.34744602,	-6.137981228104199e-05,	1.0624460199999999,	-6.137981228104199e-05,	4,	
672.750744342804,	0.34416789,	-0.0001375428450558843,	1.05916789,	-0.0001375428450558843,	4,	
672.9048442840576,	0.34105319,	-0.0002205706812853114,	1.05605319,	-0.0002205706812853114,	4,	
673.0589442253113,	0.33800742,	-0.000300047424023753,	1.05300742,	-0.000300047424023753,	4,	
673.2130441665649,	0.33502385,	-0.000363840393310829,	1.05002385,	-0.000363840393310829,	4,	
673.3671443462372,	0.33161023,	-0.0004259695712916439,	1.04661023,	-0.0004259695712916439,	4,	
673.5212442874908,	0.32869884,	-0.0004955888862326644,	1.04369884,	-0.0004955888862326644,	4,	
673.6753442287445,	0.32542196,	-0.0005429811430344488,	1.04042196,	-0.0005429811430344488,	4,	
673.8294441699982,	0.3224321,	-0.0005935516668866786,	1.0374321,	-0.0005935516668866786,	4,	
673.9835443496704,	0.31910536,	-0.0006455903637258213,	1.0341053599999999,	-0.0006455903637258213,	4,	
674.1376442909241,	0.31611669,	-0.0007036525108722151,	1.03111669,	-0.0007036525108722151,	4,	
674.2917442321777,	0.31280249,	-0.0007477030054866395,	1.02780249,	-0.0007477030054866395,	4,	
674.4458441734314,	0.30997714,	-0.0007899159068431448,	1.0249771399999998,	-0.0007899159068431448,	4,	
674.5999443531036,	0.30675441,	-0.0008421243782723142,	1.02175441,	-0.0008421243782723142,	4,	
674.7540442943573,	0.30362666,	-0.0008771335486751092,	1.01862666,	-0.0008771335486751092,	4,	
674.908144235611,	0.30044398,	-0.0009146976753226475,	1.01544398,	-0.0009146976753226475,	4,	
675.0622441768646,	0.29731545,	-0.0009682469074122381,	1.01231545,	-0.0009682469074122381,	4,	
675.2163441181183,	0.29417023,	-0.001003366531639976,	1.00917023,	-0.001003366531639976,	4,	
675.3704442977905,	0.29124373,	-0.001041928806202394,	1.00624373,	-0.001041928806202394,	4,	
675.5245442390442,	0.28809077,	-0.001084803140685853,	1.00309077,	-0.001084803140685853,	4,	
675.6786441802979,	0.28489119,	-0.001124295653744428,	0.99989119,	-0.001124295653744428,	4,	
675.8327441215515,	0.28191662,	-0.001157694060119122,	0.9969166199999999,	-0.001157694060119122,	4,	
675.9868443012238,	0.27876225,	-0.00120264706265882,	0.99376225,	-0.00120264706265882,	4,	
676.1409442424774,	0.27567253,	-0.00123777323794981,	0.99067253,	-0.00123777323794981,	4,	
676.2950441837311,	0.27261421,	-0.001289626167834141,	0.98761421,	-0.001289626167834141,	4,	
676.4491441249847,	0.26970136,	-0.001314742177739244,	0.98470136,	-0.001314742177739244,	4,	
676.603244304657,	0.26648739,	-0.001357436956356321,	0.98148739,	-0.001357436956356321,	4,	
676.7573442459106,	0.26339012,	-0.001391563280586716,	0.97839012,	-0.001391563280586716,	4,	
676.9114441871643,	0.26036799,	-0.001429938454793944,	0.97536799,	-0.001429938454793944,	4,	
677.065544128418,	0.25736296,	-0.001469337039122513,	0.9723629599999999,	-0.001469337039122513,	4,	
677.2196443080902,	0.25435349,	-0.001507092811478407,	0.96935349,	-0.001507092811478407,	4,	
677.3737442493439,	0.25125948,	-0.001542636757490709,	0.96625948,	-0.001542636757490709,	4,	
677.5278441905975,	0.24842702,	-0.00158412704163342,	0.9634270199999999,	-0.00158412704163342,	4,	
677.6819441318512,	0.24509898,	-0.001613727640454366,	0.9600989799999999,	-0.001613727640454366,	4,	
677.8360443115234,	0.24217723,	-0.001653774796223327,	0.95717723,	-0.001653774796223327,	4,	
677.9901442527771,	0.23912427,	-0.001693263016473968,	0.95412427,	-0.001693263016473968,	4,	
678.1442441940308,	0.23626769,	-0.001723192022769151,	0.95126769,	-0.001723192022769151,	4,	
678.2983441352844,	0.23297654,	-0.00177740590433751,	0.94797654,	-0.00177740590433751,	4,	
678.4524440765381,	0.23017476,	-0.001809373876199918,	0.94517476,	-0.001809373876199918,	4,	
678.6065442562103,	0.22726719,	-0.00183603384204914,	0.9422671899999999,	-0.00183603384204914,	4,	
678.760644197464,	0.22391547,	-0.00186728203399851,	0.93891547,	-0.00186728203399851,	4,	
678.9147441387177,	0.22095449,	-0.001904559490757362,	0.93595449,	-0.001904559490757362,	4,	
679.0688440799713,	0.21792856,	-0.001942018177446524,	0.9329285599999999,	-0.001942018177446524,	4,	
679.2229442596436,	0.21490683,	-0.001967804992031722,	0.92990683,	-0.001967804992031722,	4,	
679.3770442008972,	0.21185578,	-0.00200316013027995,	0.9268557799999999,	-0.00200316013027995,	4,	
679.5311441421509,	0.20885059,	-0.00204172852164683,	0.92385059,	-0.00204172852164683,	4,	
679.6852440834045,	0.20586886,	-0.002061756301603011,	0.9208688599999999,	-0.002061756301603011,	4,	
679.8393442630768,	0.20280088,	-0.002089240535846158,	0.9178008799999999,	-0.002089240535846158,	4,	
679.9934442043304,	0.19974734,	-0.002130447789997984,	0.9147473399999999,	-0.002130447789997984,	4,	
680.1475441455841,	0.19661678,	-0.002149578437557725,	0.9116167799999999,	-0.002149578437557725,	4,	
680.3016440868378,	0.19366926,	-0.002182072263762906,	0.9086692599999999,	-0.002182072263762906,	4,	
680.45574426651,	0.19061272,	-0.002208099204488043,	0.9056127199999999,	-0.002208099204488043,	4,	
680.6098442077637,	0.18756577,	-0.002231978963028652,	0.9025657699999999,	-0.002231978963028652,	4,	
680.764044046402,	0.18453151,	-0.002243287247476904,	0.89953151,	-0.002243287247476904,	4,	
680.918044090271,	0.18147285,	-0.002272286879368764,	0.89647285,	-0.002272286879368764,	4,	
681.0722441673279,	0.17841633,	-0.002291502998386673,	0.89341633,	-0.002291502998386673,	4,	
681.2262442111969,	0.1754266,	-0.002308119268281672,	0.8904266,	-0.002308119268281672,	4,	
681.3804440498352,	0.17239867,	-0.00231811882786255,	0.88739867,	-0.00231811882786255,	4,	
681.5344440937042,	0.16929235,	-0.002342782305636899,	0.88429235,	-0.002342782305636899,	4,	
681.6886441707611,	0.16634287,	-0.002350322761898858,	0.88134287,	-0.002350322761898858,	4,	
681.8426442146301,	0.16311465,	-0.002356573570170391,	0.87811465,	-0.002356573570170391,	4,	
681.9968440532684,	0.16010582,	-0.002370959893795259,	0.8751058199999999,	-0.002370959893795259,	4,	
682.1508440971375,	0.15708216,	-0.002385702502702453,	0.8720821599999999,	-0.002385702502702453,	4,	
682.3050441741943,	0.15392494,	-0.002382799449613955,	0.86892494,	-0.002382799449613955,	4,	
682.4590442180634,	0.15078576,	-0.002387356419498596,	0.86578576,	-0.002387356419498596,	4,	
682.6132440567017,	0.14770168,	-0.002385586538662329,	0.86270168,	-0.002385586538662329,	4,	
682.7672441005707,	0.14443319,	-0.002381481016227212,	0.85943319,	-0.002381481016227212,	4,	
682.9214441776276,	0.14143389,	-0.002374031763754111,	0.8564338899999999,	-0.002374031763754111,	4,	
683.0754442214966,	0.13828836,	-0.002364744209648488,	0.85328836,	-0.002364744209648488,	4,	
683.2296440601349,	0.13526787,	-0.00235773391786683,	0.8502678699999999,	-0.00235773391786683,	4,	
683.3836441040039,	0.13206403,	-0.002344779446721074,	0.84706403,	-0.002344779446721074,	4,	
683.5378441810608,	0.12882946,	-0.002324685634585131,	0.84382946,	-0.002324685634585131,	4,	
683.6918442249298,	0.125756,	-0.002309211900582829,	0.840756,	-0.002309211900582829,	4,	
683.8460440635681,	0.12248856,	-0.002288184971400715,	0.8374885599999999,	-0.002288184971400715,	4,	
684.0000441074371,	0.11961856,	-0.002265662390326256,	0.83461856,	-0.002265662390326256,	4,	
684.154244184494,	0.11633737,	-0.002244831020883555,	0.83133737,	-0.002244831020883555,	4,	
684.308244228363,	0.11330839,	-0.002221105690611451,	0.82830839,	-0.002221105690611451,	4,	
684.4624440670013,	0.11005794,	-0.00219071208305887,	0.82505794,	-0.00219071208305887,	4,	
684.6164441108704,	0.10711905,	-0.002150664831527468,	0.82211905,	-0.002150664831527468,	4,	
684.7706441879272,	0.10370219,	-0.002119531161479738,	0.81870219,	-0.002119531161479738,	4,	
684.9246439933777,	0.10085656,	-0.002089732648489981,	0.81585656,	-0.002089732648489981,	4,	
685.0788440704346,	0.097693004,	-0.002040759041410822,	0.812693004,	-0.002040759041410822,	4,	
685.2328441143036,	0.094647087,	-0.002003233563437429,	0.809647087,	-0.002003233563437429,	4,	
685.3870441913605,	0.091168746,	-0.001969150794908753,	0.806168746,	-0.001969150794908753,	4,	
685.5410439968109,	0.088140845,	-0.001919822455104983,	0.8031408449999999,	-0.001919822455104983,	4,	
685.6952440738678,	0.084938064,	-0.001868421639530271,	0.799938064,	-0.001868421639530271,	4,	
685.8492441177368,	0.081973754,	-0.001831153848342829,	0.7969737539999999,	-0.001831153848342829,	4,	
686.0034441947937,	0.078880131,	-0.001781737874991023,	0.793880131,	-0.001781737874991023,	4,	
686.1574440002441,	0.075567134,	-0.001736104278443621,	0.790567134,	-0.001736104278443621,	4,	
686.311644077301,	0.072484113,	-0.001683297906149009,	0.787484113,	-0.001683297906149009,	4,	
686.46564412117,	0.069255911,	-0.001640519361562849,	0.784255911,	-0.001640519361562849,	4,	
686.6198441982269,	0.06619408,	-0.001580162760265222,	0.78119408,	-0.001580162760265222,	4,	
686.7738440036774,	0.063096233,	-0.001525757537134263,	0.778096233,	-0.001525757537134263,	4,	
686.9280440807343,	0.060243197,	-0.001485008540446959,	0.775243197,	-0.001485008540446959,	4,	
687.0820441246033,	0.056898404,	-0.001431400631073691,	0.771898404,	-0.001431400631073691,	4,	
687.2362439632416,	0.053899113,	-0.001371716595066123,	0.768899113,	-0.001371716595066123,	4,	
687.3902440071106,	0.050644401,	-0.001328752448767987,	0.765644401,	-0.001328752448767987,	4,	
687.5444440841675,	0.047582582,	-0.001279343620547386,	0.762582582,	-0.001279343620547386,	4,	
687.6985440254211,	0.044583544,	-0.001224830346277954,	0.7595835439999999,	-0.001224830346277954,	4,	
687.8526439666748,	0.041692097,	-0.001176710216380963,	0.756692097,	-0.001176710216380963,	4,	
688.006744146347,	0.03821123,	-0.001134712901873742,	0.75321123,	-0.001134712901873742,	4,	
688.1608440876007,	0.035139229,	-0.001094589890664282,	0.750139229,	-0.001094589890664282,	4,	
688.3149440288544,	0.032109704,	-0.001041568236382109,	0.747109704,	-0.001041568236382109,	4,	
688.469043970108,	0.029068582,	-0.001000664668048112,	0.7440685819999999,	-0.001000664668048112,	4,	
688.6231441497803,	0.02621929,	-0.0009616788714391263,	0.74121929,	-0.0009616788714391263,	4,	
688.7772440910339,	0.022911025,	-0.0009135699755302793,	0.7379110249999999,	-0.0009135699755302793,	4,	
688.9313440322876,	0.019862216,	-0.0008771095359211699,	0.734862216,	-0.0008771095359211699,	4,	
689.0854439735413,	0.016971791,	-0.0008463246429820555,	0.731971791,	-0.0008463246429820555,	4,	
689.2395441532135,	0.013984662,	-0.0008067026082641971,	0.728984662,	-0.0008067026082641971,	4,	
689.3936440944672,	0.010817414,	-0.0007691890812244369,	0.725817414,	-0.0007691890812244369,	4,	
689.5477440357208,	0.0079854447,	-0.0007386851136532546,	0.7229854446999999,	-0.0007386851136532546,	4,	
689.7018439769745,	0.004757361,	-0.0007122779744374672,	0.719757361,	-0.0007122779744374672,	4,	
689.8559441566467,	0.0016847663,	-0.000678716247108099,	0.7166847663,	-0.000678716247108099,	4,	
690.0100440979004,	-0.001320709,	-0.000647560864559218,	0.7136792909999999,	-0.000647560864559218,	4,	
690.164144039154,	-0.0039105276,	-0.0006010265880396354,	0.7110894724,	-0.0006010265880396354,	4,	
690.3182439804077,	-0.006962135,	-0.0005917251507827504,	0.708037865,	-0.0005917251507827504,	4,	
690.47234416008,	-0.0099989595,	-0.0005640846605874678,	0.7050010405,	-0.0005640846605874678,	4,	
690.6264441013336,	-0.013110155,	-0.0005494703895789609,	0.701889845,	-0.0005494703895789609,	4,	
690.7805440425873,	-0.015998056,	-0.0005356862609487718,	0.6990019439999999,	-0.0005356862609487718,	4,	
690.9346439838409,	-0.019088604,	-0.0005064889881614843,	0.695911396,	-0.0005064889881614843,	4,	
691.0887439250946,	-0.022045448,	-0.0004925693951085171,	0.692954552,	-0.0004925693951085171,	4,	
691.2428441047668,	-0.025112627,	-0.0004819329241170039,	0.6898873729999999,	-0.0004819329241170039,	4,	
691.3969440460205,	-0.028120093,	-0.0004646725630189502,	0.686879907,	-0.0004646725630189502,	4,	
691.5510439872742,	-0.031363446,	-0.0004434230979995287,	0.683636554,	-0.0004434230979995287,	4,	
691.7051439285278,	-0.034108665,	-0.0004389262829992365,	0.680891335,	-0.0004389262829992365,	4,	
691.8592441082001,	-0.037191406,	-0.0004309509055068963,	0.6778085939999999,	-0.0004309509055068963,	4,	
692.0133440494537,	-0.040123712,	-0.0004149955348919373,	0.674876288,	-0.0004149955348919373,	4,	
692.1674439907074,	-0.043326706,	-0.0004058609284727458,	0.671673294,	-0.0004058609284727458,	4,	
692.3215439319611,	-0.04629853,	-0.0004061715252833623,	0.66870147,	-0.0004061715252833623,	4,	
692.4756441116333,	-0.04945777,	-0.0003881061804274933,	0.66554223,	-0.0003881061804274933,	4,	
692.629744052887,	-0.052395165,	-0.0003793302962997163,	0.662604835,	-0.0003793302962997163,	4,	
692.7838439941406,	-0.055353552,	-0.0003855671700933687,	0.6596464479999999,	-0.0003855671700933687,	4,	
692.9379439353943,	-0.058548097,	-0.0003759174076578757,	0.656451903,	-0.0003759174076578757,	4,	
693.0920441150665,	-0.061525952,	-0.0003662832675312912,	0.653474048,	-0.0003662832675312912,	4,	
693.2461440563202,	-0.064622387,	-0.000371131180593157,	0.650377613,	-0.000371131180593157,	4,	
693.4002439975739,	-0.067650653,	-0.0003700182965085479,	0.647349347,	-0.0003700182965085479,	4,	
693.5543439388275,	-0.070526645,	-0.0003598771832472678,	0.6444733549999999,	-0.0003598771832472678,	4,	
693.7084441184998,	-0.073633343,	-0.0003594451806768909,	0.641366657,	-0.0003594451806768909,	4,	
693.8625440597534,	-0.076879367,	-0.0003686978583650437,	0.638120633,	-0.0003686978583650437,	4,	
694.0166440010071,	-0.080032542,	-0.0003668129257549026,	0.634967458,	-0.0003668129257549026,	4,	
694.1707439422607,	-0.083086267,	-0.0003585815999651587,	0.631913733,	-0.0003585815999651587,	4,	
694.3248438835144,	-0.086147703,	-0.0003703618014536478,	0.628852297,	-0.0003703618014536478,	4,	
694.4789440631866,	-0.089114249,	-0.000367975763871023,	0.625885751,	-0.000367975763871023,	4,	
694.6330440044403,	-0.092441984,	-0.0003604720075824331,	0.6225580159999999,	-0.0003604720075824331,	4,	
694.787143945694,	-0.095597818,	-0.0003705280616986316,	0.619402182,	-0.0003705280616986316,	4,	
694.9412438869476,	-0.098473422,	-0.0003741321841153428,	0.616526578,	-0.0003741321841153428,	4,	
695.0953440666199,	-0.10155602,	-0.0003696784897309524,	0.61344398,	-0.0003696784897309524,	4,	
695.2494440078735,	-0.10487261,	-0.0003738136145597075,	0.6101273899999999,	-0.0003738136145597075,	4,	
695.4035439491272,	-0.10792936,	-0.0003811937924698561,	0.60707064,	-0.0003811937924698561,	4,	
695.5576438903809,	-0.11114887,	-0.000379180969665613,	0.60385113,	-0.000379180969665613,	4,	
695.7117440700531,	-0.11423738,	-0.0003813661781375422,	0.60076262,	-0.0003813661781375422,	4,	
695.8658440113068,	-0.11739017,	-0.0003882126682413301,	0.59760983,	-0.0003882126682413301,	4,	
696.0199439525604,	-0.12041587,	-0.000398867041630474,	0.59458413,	-0.000398867041630474,	4,	
696.1740438938141,	-0.12372048,	-0.0003899576786336083,	0.59127952,	-0.0003899576786336083,	4,	
696.3281440734863,	-0.12678126,	-0.0003996142882753484,	0.58821874,	-0.0003996142882753484,	4,	
696.48224401474,	-0.12986319,	-0.0004062049184759917,	0.58513681,	-0.0004062049184759917,	4,	
696.6363439559937,	-0.13313177,	-0.0004043122366700312,	0.58186823,	-0.0004043122366700312,	4,	
696.7904438972473,	-0.13631751,	-0.0004088301780495974,	0.5786824899999999,	-0.0004088301780495974,	4,	
696.9445440769196,	-0.13940348,	-0.0004191271528646515,	0.57559652,	-0.0004191271528646515,	4,	
697.0986440181732,	-0.14245386,	-0.0004211100808623387,	0.57254614,	-0.0004211100808623387,	4,	
697.2527439594269,	-0.14556167,	-0.0004233786260914888,	0.56943833,	-0.0004233786260914888,	4,	
697.4068439006805,	-0.14883399,	-0.0004301408502810405,	0.56616601,	-0.0004301408502810405,	4,	
697.5609438419342,	-0.15183684,	-0.0004374628386129287,	0.56316316,	-0.0004374628386129287,	4,	
697.7150440216064,	-0.15496083,	-0.0004373752821119955,	0.56003917,	-0.0004373752821119955,	4,	
697.8691439628601,	-0.15808757,	-0.0004420649047883933,	0.5569124299999999,	-0.0004420649047883933,	4,	
698.0232439041138,	-0.1615179,	-0.0004604770978552646,	0.5534821,	-0.0004604770978552646,	4,	
698.1773438453674,	-0.16439238,	-0.0004574651356096214,	0.55060762,	-0.0004574651356096214,	4,	
698.3314440250397,	-0.1676797,	-0.0004559786966179796,	0.5473203,	-0.0004559786966179796,	4,	
698.4855439662933,	-0.17058,	-0.0004667039498472319,	0.5444199999999999,	-0.0004667039498472319,	4,	
698.639643907547,	-0.17382352,	-0.0004724003022223023,	0.54117648,	-0.0004724003022223023,	4,	
698.7937438488007,	-0.1769712,	-0.0004729931769149147,	0.5380288,	-0.0004729931769149147,	4,	
698.9478440284729,	-0.18000756,	-0.0004816529862056865,	0.5349924399999999,	-0.0004816529862056865,	4,	
699.1019439697266,	-0.18305428,	-0.0004898377838330782,	0.53194572,	-0.0004898377838330782,	4,	
699.2560439109802,	-0.18647669,	-0.000491739345987955,	0.52852331,	-0.000491739345987955,	4,	
699.4101438522339,	-0.18934911,	-0.0004933501435151438,	0.52565089,	-0.0004933501435151438,	4,	
699.5642440319061,	-0.19259398,	-0.000504764743924413,	0.52240602,	-0.000504764743924413,	4,	
699.7183439731598,	-0.19560193,	-0.0005091522958140908,	0.5193980699999999,	-0.0005091522958140908,	4,	
699.8724439144135,	-0.19866465,	-0.0005053476877830143,	0.51633535,	-0.0005053476877830143,	4,	
700.0265438556671,	-0.20178801,	-0.0005205471923715385,	0.51321199,	-0.0005205471923715385,	4,	
700.1806440353394,	-0.20506701,	-0.000527123923905803,	0.50993299,	-0.000527123923905803,	4,	
700.334743976593,	-0.20803402,	-0.0005212049179139644,	0.5069659799999999,	-0.0005212049179139644,	4,	
700.4888439178467,	-0.21109104,	-0.0005258530279398013,	0.50390896,	-0.0005258530279398013,	4,	
700.6429438591003,	-0.21399368,	-0.0005386303347629084,	0.50100632,	-0.0005386303347629084,	4,	
700.797043800354,	-0.21710446,	-0.0005349992281601075,	0.49789553999999997,	-0.0005349992281601075,	4,	
700.9511439800262,	-0.21985048,	-0.0005366391197023611,	0.49514952,	-0.0005366391197023611,	4,	
701.1052439212799,	-0.22323975,	-0.0005454709887129476,	0.49176025,	-0.0005454709887129476,	4,	
701.2593438625336,	-0.22645639,	-0.0005492630815209535,	0.48854360999999996,	-0.0005492630815209535,	4,	
701.4134438037872,	-0.22943759,	-0.0005427863548845974,	0.48556241,	-0.0005427863548845974,	4,	
701.5675439834595,	-0.23204921,	-0.0005515542355422204,	0.48295078999999996,	-0.0005515542355422204,	4,	
701.7216439247131,	-0.23517653,	-0.000561066553430956,	0.47982347,	-0.000561066553430956,	4,	
701.8757438659668,	-0.23836228,	-0.0005605201670290695,	0.47663771999999993,	-0.0005605201670290695,	4,	
702.0298438072205,	-0.24163827,	-0.0005579653285638295,	0.47336173,	-0.0005579653285638295,	4,	
702.1839439868927,	-0.24467097,	-0.0005681318228104668,	0.47032903,	-0.0005681318228104668,	4,	
702.3380439281464,	-0.24754781,	-0.0005621480164036616,	0.46745218999999993,	-0.0005621480164036616,	4,	
702.4921438694,	-0.25036436,	-0.0005595937666842375,	0.46463563999999996,	-0.0005595937666842375,	4,	
702.6462438106537,	-0.25341606,	-0.0005714384536822151,	0.46158393999999997,	-0.0005714384536822151,	4,	
702.8003439903259,	-0.2564351,	-0.000569348117600248,	0.45856489999999994,	-0.000569348117600248,	4,	
702.9544439315796,	-0.25953653,	-0.0005634962459228612,	0.45546347,	-0.0005634962459228612,	4,	
703.1085438728333,	-0.26250616,	-0.0005715109792326983,	0.45249384,	-0.0005715109792326983,	4,	
703.2626438140869,	-0.26547575,	-0.0005745594206794814,	0.44952424999999996,	-0.0005745594206794814,	4,	
703.4167439937592,	-0.26840514,	-0.0005673454631196116,	0.44659486,	-0.0005673454631196116,	4,	
703.5708439350128,	-0.27164498,	-0.0005673849049842791,	0.44335502,	-0.0005673849049842791,	4,	
703.7249438762665,	-0.2746014,	-0.0005758411623441222,	0.4403986,	-0.0005758411623441222,	4,	
703.8790438175201,	-0.27779189,	-0.0005774603705287675,	0.43720811,	-0.0005774603705287675,	4,	
704.0331439971924,	-0.28062525,	-0.0005682704041021129,	0.43437475,	-0.0005682704041021129,	4,	
704.187243938446,	-0.28365484,	-0.0005774076045333013,	0.43134515999999995,	-0.0005774076045333013,	4,	
704.3413438796997,	-0.28671801,	-0.0005745791205515318,	0.42828198999999995,	-0.0005745791205515318,	4,	
704.4954438209534,	-0.28975523,	-0.0005678132210364542,	0.42524477,	-0.0005678132210364542,	4,	
704.649543762207,	-0.29283726,	-0.0005751783848733181,	0.42216274,	-0.0005751783848733181,	4,	
704.8036439418793,	-0.29590422,	-0.0005778250816973404,	0.41909578,	-0.0005778250816973404,	4,	
704.9577438831329,	-0.29899654,	-0.0005731246795823776,	0.41600346,	-0.0005731246795823776,	4,	
705.1118438243866,	-0.30188382,	-0.0005749590322457895,	0.41311617999999994,	-0.0005749590322457895,	4,	
705.2659437656403,	-0.30492565,	-0.0005804661455535379,	0.41007435,	-0.0005804661455535379,	4,	
705.4200439453125,	-0.30792683,	-0.0005790394395488764,	0.40707317,	-0.0005790394395488764,	4,	
705.5741438865662,	-0.31102198,	-0.000579765156930815,	0.40397802,	-0.000579765156930815,	4,	
705.6557438373566,	-0.312307,	-1.304142642766237e-05,	0.40269299999999997,	-1.304142642766237e-05,	4,	
706.6557438373566,	-0.31274578,	-0.0001305660278568667,	0.40225422,	-0.0001305660278568667,	4,	
707.6557438373566,	-0.31356609,	-5.906674916162735e-05,	0.40143390999999995,	-5.906674916162735e-05,	4,	
708.6557438373566,	-0.31406209,	-3.646612677347895e-05,	0.40093790999999995,	-3.646612677347895e-05,	4,	
709.6557438373566,	-0.31392854,	-2.535240354447409e-05,	0.40107146,	-2.535240354447409e-05,	4,	
710.6557438373566,	-0.31404299,	-1.894326892676191e-05,	0.40095700999999995,	-1.894326892676191e-05,	4,	
711.6557438373566,	-0.31490144,	-1.619705998215296e-05,	0.40009856,	-1.619705998215296e-05,	4,	
712.6557438373566,	-0.31461531,	-1.725920586214332e-05,	0.40038469,	-1.725920586214332e-05,	4,	
713.6557438373566,	-0.31385222,	-2.042757503219832e-05,	0.40114777999999995,	-2.042757503219832e-05,	4,	
714.6557438373566,	-0.314291,	-2.60110925888398e-05,	0.400709,	-2.60110925888398e-05,	4,	
715.6557438373566,	-0.31396669,	-3.165313717749997e-05,	0.40103331,	-3.165313717749997e-05,	4,	
716.6557438373566,	-0.31345162,	-3.662529721662509e-05,	0.40154838,	-3.662529721662509e-05,	4,	
717.655743598938,	-0.31291747,	-3.996619405955928e-05,	0.40208253,	-3.996619405955928e-05,	4,	
718.655743598938,	-0.31261224,	-4.147480502733755e-05,	0.40238776,	-4.147480502733755e-05,	4,	
719.655743598938,	-0.31293654,	-4.04724557829866e-05,	0.40206346,	-4.04724557829866e-05,	4,	
720.655743598938,	-0.31347069,	-3.79542511886655e-05,	0.40152931,	-3.79542511886655e-05,	4,	
721.655743598938,	-0.31364238,	-3.573631578454985e-05,	0.40135761999999997,	-3.573631578454985e-05,	4,	
722.655743598938,	-0.31404299,	-3.32193843358937e-05,	0.40095700999999995,	-3.32193843358937e-05,	4,	
723.655743598938,	-0.31383315,	-3.286936317249461e-05,	0.40116684999999996,	-3.286936317249461e-05,	4,	
724.655743598938,	-0.31438637,	-3.427084010010622e-05,	0.40061362999999994,	-3.427084010010622e-05,	4,	
725.655743598938,	-0.31423378,	-3.807066926287919e-05,	0.40076621999999995,	-3.807066926287919e-05,	4,	
726.655743598938,	-0.31362331,	-4.33859776673047e-05,	0.40137669,	-4.33859776673047e-05,	4,	
727.655743598938,	-0.31257409,	-4.887203581741917e-05,	0.40242590999999994,	-4.887203581741917e-05,	4,	
728.655743598938,	-0.31293654,	-5.394903754166202e-05,	0.40206346,	-5.394903754166202e-05,	4,	
729.655743598938,	-0.31226885,	-5.759860140661885e-05,	0.40273115,	-5.759860140661885e-05,	4,	
730.655743598938,	-0.31251687,	-5.920199944711171e-05,	0.40248312999999997,	-5.920199944711171e-05,	4,	
731.655743598938,	-0.31221163,	-5.797559742168806e-05,	0.40278836999999995,	-5.797559742168806e-05,	4,	
732.655743598938,	-0.31310824,	-5.533957180015254e-05,	0.40189176,	-5.533957180015254e-05,	4,	
733.655743598938,	-0.31390947,	-5.253407110793673e-05,	0.40109052999999995,	-5.253407110793673e-05,	4,	
734.655743598938,	-0.31385222,	-4.98867255012272e-05,	0.40114777999999995,	-4.98867255012272e-05,	4,	
