name = extended_platinum_ec
technique = EC
tstamp = 1580482722.0
backend_name = memory
id = 6
timecol 'time/s' for: 'raw potential / [V]' and 'raw current / [mA]' and '$U_{RHE}$ / [V]' and 'J / [mA cm$^{-2}$]' and 'selector'
N_header_lines = 9

time/s,	raw potential / [V],	raw current / [mA],	$U_{RHE}$ / [V],	J / [mA cm$^{-2}$],	selector
83.96835136413574,	1.1507478,	0.050017737,	1.8657477999999998,	0.050017737,	0,	
84.46835136413574,	1.1504616,	0.050031096,	1.8654616000000002,	0.050031096,	0,	
84.96835136413574,	1.1503471,	0.050024737,	1.8653471000000001,	0.050024737,	0,	
85.46835136413574,	1.1504997,	0.050011374,	1.8654997,	0.050011374,	0,	
85.96835136413574,	1.1504425,	0.0500171,	1.8654425,	0.0500171,	0,	
86.46835136413574,	1.1504425,	0.050002467,	1.8654425,	0.050002467,	0,	
86.96835136413574,	1.1509957,	0.050006285,	1.8659957,	0.050006285,	0,	
87.46835136413574,	1.1510911,	0.050003745,	1.8660910999999998,	0.050003745,	0,	
87.96835136413574,	1.1511483,	0.050014555,	1.8661482999999999,	0.050014555,	0,	
88.46835136413574,	1.1514727,	0.050007559,	1.8664727,	0.050007559,	0,	
88.96835136413574,	1.1519305,	0.050003104,	1.8669305,	0.050003104,	0,	
89.46835136413574,	1.1517969,	0.050008193,	1.8667968999999998,	0.050008193,	0,	
89.96835136413574,	1.1518732,	0.050003104,	1.8668732000000001,	0.050003104,	0,	
90.46835136413574,	1.1521213,	0.0500101,	1.8671213,	0.0500101,	0,	
90.96835136413574,	1.1519114,	0.050005652,	1.8669113999999998,	0.050005652,	0,	
91.46835136413574,	1.1515299,	0.050008193,	1.8665299000000002,	0.050008193,	0,	
91.96835136413574,	1.1518923,	0.050017737,	1.8668923,	0.050017737,	0,	
92.46835136413574,	1.1513391,	0.050007559,	1.8663390999999998,	0.050007559,	0,	
92.96835136413574,	1.1516253,	0.050012011,	1.8666253,	0.050012011,	0,	
