name = extended_platinum_ec
technique = EC
tstamp = 1580480022.0
backend_name = BackendBase(none, address=none)
id = 7
timecol 'time/s' for: '$U_{RHE}$ / [V]' and '<I>/mA' and 'selector'
aliases = {"t": ["time/s"], "raw_potential": ["$U_{RHE}$ / [V]"], "raw_current": ["<I>/mA"], "selector": ["selector"]}
N_header_lines = 10

time/s,	$U_{RHE}$ / [V],	<I>/mA,	selector
164.26028299331665,	0.09896411999999999,	-0.0001821263439373745,	1,	
164.4143831729889,	0.09570660999999991,	-0.0001936455542248226,	1,	
164.56848311424255,	0.09286596999999996,	-0.0002063478547290223,	1,	
164.72258305549622,	0.08977064000000001,	-0.0002155860702046782,	1,	
164.87668299674988,	0.08684935999999999,	-0.000226383848544693,	1,	
165.03078317642212,	0.08373971999999996,	-0.0002407324480122432,	1,	
165.18488311767578,	0.08079673999999992,	-0.000253281954492689,	1,	
165.33898305892944,	0.07720198999999994,	-0.0002660903649467743,	1,	
165.4930830001831,	0.07428517999999995,	-0.0002831394400998844,	1,	
165.64718317985535,	0.07140424000000001,	-0.0002991264960726767,	1,	
165.801283121109,	0.06817521999999998,	-0.0003143008167986183,	1,	
165.95538306236267,	0.06525554999999994,	-0.000332608439541,	1,	
166.10948300361633,	0.06189270999999996,	-0.0003543732669755483,	1,	
166.26358318328857,	0.058797619999999995,	-0.0003728533966884319,	1,	
166.41768312454224,	0.05552425999999999,	-0.0003927181531675973,	1,	
166.5717830657959,	0.052551000000000014,	-0.0004194765652962936,	1,	
166.72588300704956,	0.04929669999999997,	-0.0004439211907964761,	1,	
166.8799831867218,	0.04628040999999994,	-0.0004714376882971371,	1,	
167.03408312797546,	0.04309889,	-0.0005071096199609072,	1,	
167.18818306922913,	0.03987683999999991,	-0.0005379433982482373,	1,	
167.30378317832947,	0.03777094999999997,	-0.0005705460194496778,	1,	
167.3359830379486,	0.036495349999999926,	-0.0009596589952707291,	1,	
167.35138297080994,	0.036495349999999926,	-0.0003551215438831919,	1,	
167.43618297576904,	0.038507669999999994,	-0.0001615577638067137,	1,	
167.59028315544128,	0.04141159999999999,	-5.684039793593285e-05,	1,	
167.74438309669495,	0.044605999999999923,	-2.387364213193427e-06,	1,	
167.8984830379486,	0.047816179999999986,	3.61541316327081e-05,	1,	
168.05258297920227,	0.05074778000000002,	6.077595014855857e-05,	1,	
168.2066831588745,	0.053332469999999965,	8.575495062305549e-05,	1,	
168.36078310012817,	0.05631509000000001,	0.0001077619623747325,	1,	
168.51488304138184,	0.059856739999999964,	0.0001188026910694925,	1,	
168.6689829826355,	0.06253822999999992,	0.0001317644172565582,	1,	
168.82308316230774,	0.06559463999999993,	0.0001456536761157627,	1,	
168.9771831035614,	0.06871607999999996,	0.0001516344456169931,	1,	
169.13128304481506,	0.07174261999999998,	0.0001563021709471433,	1,	
169.28538298606873,	0.07492729999999992,	0.0001647933911569136,	1,	
169.4394829273224,	0.07769884999999999,	0.0001697385114558542,	1,	
169.59358310699463,	0.08088812000000001,	0.0001703114448706276,	1,	
169.7476830482483,	0.08361478999999994,	0.0001750648949966799,	1,	
169.90178298950195,	0.08669421,	0.0001789024941773632,	1,	
170.05588293075562,	0.08994724999999992,	0.00017598521437738,	1,	
170.20998311042786,	0.09286496,	0.0001770211299951655,	1,	
170.36408305168152,	0.09577407999999998,	0.0001806226355442608,	1,	
170.51818299293518,	0.09911771999999996,	0.0001778735365575053,	1,	
170.67228293418884,	0.10222735999999999,	0.0001765945137203588,	1,	
170.82638311386108,	0.10508569999999995,	0.0001788754608153212,	1,	
170.98048305511475,	0.10815807999999993,	0.0001771642321643837,	1,	
171.1345829963684,	0.11141248999999998,	0.0001721894574203283,	1,	
171.28868293762207,	0.11411853999999999,	0.0001741049696266051,	1,	
171.4427831172943,	0.11740603999999999,	0.0001725990146447406,	1,	
171.59688305854797,	0.12046047999999998,	0.000169834641009549,	1,	
171.75098299980164,	0.12350282000000001,	0.0001671774611300358,	1,	
171.9050829410553,	0.12672509999999992,	0.0001686080112463986,	1,	
172.05918312072754,	0.12987967999999994,	0.0001627894356620611,	1,	
172.2132830619812,	0.13289436,	0.0001595028122436623,	1,	
172.36738300323486,	0.13614872,	0.000160752740682239,	1,	
172.52148294448853,	0.13956161999999994,	0.0001577672482666092,	1,	
172.6755828857422,	0.14259031,	0.0001527616534782798,	1,	
172.82968306541443,	0.14568205999999995,	0.0001533946620026165,	1,	
172.9837830066681,	0.14884993000000002,	0.0001514864605010402,	1,	
173.13788294792175,	0.15171786999999992,	0.0001465768186169818,	1,	
173.29198288917542,	0.15494385,	0.0001454253834360041,	1,	
173.44608306884766,	0.15851017,	0.0001459618531719632,	1,	
173.60018301010132,	0.16138485000000002,	0.0001425590951920318,	1,	
173.75428295135498,	0.16432645999999995,	0.0001385545129406539,	1,	
173.90838289260864,	0.16786541999999993,	0.0001379362742529107,	1,	
174.06248307228088,	0.17091325000000002,	0.0001357732811327486,	1,	
