ixdat version = 0.2.7.dev1
name = 2022-07-19 10_02_32 HER_OER_calibration AND HER_OER_calibration_01_01_CVA.mpt AND HER_OER_calibration_01_02_CP.mpt AND HER_OER_calibration_01_03_CVA.mpt AND HER_OER_calibration_01_04_CP.mpt
technique = EC-MS
tstamp = 1658217752.0
backend_name = BackendBase(none, address=none)
id = 16
timecol 'time/s' for: 'Ewe/V' and '<I>/mA' and 'selector'
timecol 'C6M44 time [s]' for: 'M44'
timecol 'C3M28 time [s]' for: 'M28'
timecol 'C4M32 time [s]' for: 'M32'
timecol 'C1M4 time [s]' for: 'M4'
timecol 'C0M2 time [s]' for: 'M2'
timecol 'C5M40 time [s]' for: 'M40'
timecol 'C2M18 time [s]' for: 'M18'
aliases = {"M2": ["M2 [A]"], "M4": ["M4 [A]"], "M18": ["M18 [A]"], "M28": ["M28 [A]"], "M32": ["M32 [A]"], "M40": ["M40 [A]"], "M44": ["M44 [A]"], "t": ["time/s"], "raw_potential": ["Ewe/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"]}
N_header_lines = 18

time/s,	Ewe/V,	<I>/mA,	selector,	C6M44 time [s],	M44,	C3M28 time [s],	M28,	C4M32 time [s],	M32,	C1M4 time [s],	M4,	C0M2 time [s],	M2,	C5M40 time [s],	M40,	C2M18 time [s],	M18
5006.896795034409,	1.4103351,	-4.434887769633373e-05,	0,	5029.779000043869,	3.461522e-13,	5029.555999994278,	9.374663e-13,	5029.630000114441,	3.319927e-12,	5029.40700006485,	4.919487e-10,	5029.332000017166,	8.600702e-12,	5029.704999923706,	3.634457e-14,	5029.480999946594,	3.238568e-11
5007.229895114899,	1.4036881,	-5.58030067744613e-05,	0,	5031.234999895096,	3.511013e-13,	5031.010999917984,	9.227648e-13,	5031.085999965668,	3.316679e-12,	5030.861999988556,	4.920291e-10,	5030.7880001068115,	8.601488e-12,	5031.160000085831,	3.494328e-14,	5030.93700003624,	3.230231e-11
5007.563095092773,	1.3970211,	-6.850130278280935e-05,	0,	5032.6900000572205,	3.352983e-13,	5032.466000080109,	9.319583e-13,	5032.540999889374,	3.286814e-12,	5032.316999912262,	4.920972e-10,	5032.243000030518,	8.584017e-12,	5032.615000009537,	4.224135e-14,	5032.391999959946,	3.230829e-11
5007.896194934845,	1.3904538,	-7.417622443687383e-05,	0,	5034.145999908447,	3.368251e-13,	5033.923000097275,	9.335986e-13,	5033.996999979019,	3.251972e-12,	5033.773999929428,	4.913137e-10,	5033.698999881744,	8.604156e-12,	5034.072000026703,	4.114381e-14,	5033.848000049591,	3.242661e-11
5008.229395151138,	1.3836601,	-8.465739218080684e-05,	0,	5035.599999904633,	3.28632e-13,	5035.37700009346,	9.294067e-13,	5035.4509999752045,	3.246079e-12,	5035.227999925613,	4.913583e-10,	5035.153000116348,	8.61764e-12,	5035.526000022888,	3.576947e-14,	5035.302000045776,	3.229562e-11
5008.56249499321,	1.3769916,	-9.216393930001725e-05,	0,	5037.055000066757,	3.239705e-13,	5036.832000017166,	9.147337e-13,	5036.9059998989105,	3.207738e-12,	5036.683000087738,	4.916502e-10,	5036.608000040054,	8.627816e-12,	5036.980999946594,	3.690752e-14,	5036.756999969482,	3.255089e-11
5008.895694971085,	1.3703772,	-0.000102956814608469,	0,	5038.510999917984,	3.434023e-13,	5038.286999940872,	9.299698e-13,	5038.361999988556,	3.216624e-12,	5038.138000011444,	4.923629e-10,	5038.063999891281,	8.638631e-12,	5038.436000108719,	4.678138e-14,	5038.213000059128,	3.227366e-11
5009.228894948959,	1.3638179,	-0.0001127607484860786,	0,	5039.966000080109,	3.391741e-13,	5039.742000102997,	9.247533e-13,	5039.816999912262,	3.186103e-12,	5039.59299993515,	4.931502e-10,	5039.519000053406,	8.640364e-12,	5039.891000032425,	5.411995e-14,	5039.667999982834,	3.238353e-11
5009.5619950294495,	1.3570888,	-0.000128511104267026,	0,	5041.421000003815,	3.51482e-13,	5041.197999954224,	9.343559e-13,	5041.272000074387,	3.153229e-12,	5041.0490000247955,	4.929582e-10,	5040.973999977112,	8.625051e-12,	5041.346999883652,	3.098239e-14,	5041.12299990654,	3.228947e-11
5009.895195007324,	1.3503449,	-0.0001406215721606189,	0,	5042.875999927521,	3.345531e-13,	5042.653000116348,	9.313103e-13,	5042.726999998093,	3.11145e-12,	5042.503999948502,	4.927946e-10,	5042.428999900818,	8.63759e-12,	5042.802000045776,	4.350494e-14,	5042.578000068665,	3.230397e-11
5010.228295087814,	1.3436399,	-0.0001423404565335839,	0,	5044.329999923706,	3.313414e-13,	5044.107000112534,	9.262842e-13,	5044.180999994278,	3.132473e-12,	5043.957999944687,	4.920468e-10,	5043.882999897003,	8.623507e-12,	5044.256000041962,	4.26585e-14,	5044.03200006485,	3.223848e-11
5010.561495065689,	1.3369504,	-0.0001550345325043275,	0,	5045.786000013351,	3.463304e-13,	5045.56200003624,	9.266771e-13,	5045.637000083923,	3.080492e-12,	5045.4130001068115,	4.911976e-10,	5045.338999986649,	8.637913e-12,	5045.710999965668,	4.041075e-14,	5045.487999916077,	3.213892e-11
5010.894695043564,	1.330434,	-0.0001587765336586466,	0,	5047.242000102997,	3.594686e-13,	5047.017999887466,	9.408682e-13,	5047.09299993515,	3.092966e-12,	5046.868999958038,	4.918855e-10,	5046.795000076294,	8.648493e-12,	5047.167000055313,	4.049175e-14,	5046.944000005722,	3.229649e-11
5011.227795124054,	1.3236921,	-0.0001673210638938706,	0,	5048.696000099182,	3.383074e-13,	5048.473000049591,	9.194802e-13,	5048.546999931335,	3.088409e-12,	5048.323999881744,	4.920605e-10,	5048.249000072479,	8.619603e-12,	5048.621999979019,	4.12977e-14,	5048.398000001907,	3.224015e-11
5011.560995101929,	1.3170739,	-0.0001797009425527434,	0,	5050.151000022888,	3.481367e-13,	5049.927999973297,	9.279811e-13,	5050.00200009346,	3.054985e-12,	5049.779000043869,	4.919303e-10,	5049.703999996185,	8.658737e-12,	5050.076999902725,	3.781066e-14,	5049.852999925613,	3.234885e-11
5011.894094944,	1.3104587,	-0.0001882942413806202,	0,	5051.605999946594,	3.229823e-13,	5051.382999897003,	9.245671e-13,	5051.457000017166,	3.06385e-12,	5051.233999967575,	4.920062e-10,	5051.158999919891,	8.65743e-12,	5051.53200006485,	3.591932e-14,	5051.308000087738,	3.218989e-11
5012.227294921875,	1.3037585,	-0.0001934903545087221,	0,	5053.06200003624,	3.336418e-13,	5052.838000059128,	9.216835e-13,	5052.9130001068115,	3.050453e-12,	5052.688999891281,	4.920575e-10,	5052.615000009537,	8.655503e-12,	5052.986999988556,	4.16865e-14,	5052.763999938965,	3.228217e-11
5012.560395002365,	1.2970959,	-0.0002073856075601056,	0,	5054.516999959946,	3.195843e-13,	5054.292999982834,	9.328654e-13,	5054.368000030518,	3.050263e-12,	5054.144000053406,	4.90592e-10,	5054.069999933243,	8.645528e-12,	5054.441999912262,	4.690693e-14,	5054.2190001010895,	3.226971e-11
5012.89359498024,	1.2903547,	-0.0002178391284193723,	0,	5055.970999956131,	3.421914e-13,	5055.74799990654,	9.244496e-13,	5055.822000026703,	3.033795e-12,	5055.598999977112,	4.909533e-10,	5055.523999929428,	8.644953e-12,	5055.897000074387,	3.144409e-14,	5055.673000097275,	3.230546e-11
5013.226794958115,	1.2837268,	-0.000229527391959286,	0,	5057.427000045776,	3.422926e-13,	5057.203999996185,	9.201281e-13,	5057.278000116348,	3.044767e-12,	5057.055000066757,	4.918606e-10,	5056.9800000190735,	8.651307e-12,	5057.352999925613,	3.235533e-14,	5057.128999948502,	3.229124e-11
5013.559895038605,	1.2772526,	-0.0002359714629000301,	0,	5058.881000041962,	3.417418e-13,	5058.657999992371,	9.212785e-13,	5058.732000112534,	3.050809e-12,	5058.5090000629425,	4.923707e-10,	5058.434000015259,	8.664915e-12,	5058.806999921799,	3.718291e-14,	5058.582999944687,	3.232848e-11
5013.8930950164795,	1.2703727,	-0.0002526689312721221,	0,	5060.338000059128,	3.325564e-13,	5060.114000082016,	9.122227e-13,	5060.188999891281,	3.056366e-12,	5059.964999914169,	4.91408e-10,	5059.891000032425,	8.65871e-12,	5060.263000011444,	2.372076e-14,	5060.039999961853,	3.227654e-11
5014.226194858551,	1.2637229,	-0.0002603652770211936,	0,	5061.792000055313,	3.258982e-13,	5061.568000078201,	9.204685e-13,	5061.642999887466,	3.056334e-12,	5061.418999910355,	4.921806e-10,	5061.34500002861,	8.645295e-12,	5061.717000007629,	3.472052e-14,	5061.493999958038,	3.221825e-11
5014.559395074844,	1.2571455,	-0.0002715354840822849,	0,	5063.246999979019,	3.238247e-13,	5063.023999929428,	9.202093e-13,	5063.098000049591,	3.048638e-12,	5062.875,	4.923648e-10,	5062.799999952316,	8.674683e-12,	5063.173000097275,	2.574575e-14,	5062.948999881744,	3.213644e-11
5014.892595052719,	1.2505553,	-0.0002871245391822522,	0,	5064.701999902725,	3.220021e-13,	5064.479000091553,	9.173014e-13,	5064.552999973297,	3.031426e-12,	5064.329999923706,	4.90939e-10,	5064.255000114441,	8.635537e-12,	5064.628000020981,	2.405286e-14,	5064.404000043869,	3.215246e-11
5015.225694894791,	1.2437408,	-0.0002948597743761697,	0,	5066.15700006485,	3.260157e-13,	5065.934000015259,	9.152076e-13,	5066.007999897003,	3.052952e-12,	5065.785000085831,	4.912427e-10,	5065.710000038147,	8.672809e-12,	5066.082999944687,	2.913559e-14,	5065.858999967575,	3.207799e-11
5015.558894872665,	1.2371399,	-0.0003066428760316101,	0,	5067.612999916077,	3.255257e-13,	5067.388999938965,	9.079136e-13,	5067.463999986649,	3.034512e-12,	5067.240000009537,	4.919103e-10,	5067.165999889374,	8.677859e-12,	5067.5380001068115,	1.150601e-14,	5067.3150000572205,	3.221203e-11
